CHAMPION,TYPE,POKE,AOE,HEAL,CC,DIFFICULTY,TIER
AATROX,FIGHTER,1,1,2,4,7,4
AHRI,MAGE,7,1,2,2,8,1
AKALI,ASSASSIN,1,1,1,0,7,3
ALISTAR,TANK,1,1,5,10,6,1
AMUMU,TANK,1,1,0,7,3,2
ANIVIA,MAGE,5,1,0,6,8,1
ANNIE,MAGE,2,1,0,5,6,1
ASHE,MARKSMAN,6,1,0,4,4,1
AZIR,MAGE,3,1,0,4,8,2
BARD,SUPPORT,2,1,3,3,7,3
BLITZCRANK,SUPPORT,2,1,0,6,5,1
BRAND,MAGE,7,1,0,2,6,2
BRAUM,SUPPORT,2,1,0,4,5,3
CAITLYN,MARKSMAN,5,1,0,2,3,1
CASSIOPEIA,MAGE,6,1,1,5,7,2
CHO'GATH,TANK,3,1,3,6,5,1
CORKI,MARKSMAN,7,1,0,1,5,1
DARIUS,FIGHTER,2,1,3,3,3,2
DIANA,ASSASSIN,3,1,0,2,8,2
DR. MUNDO,TANK,2,1,4,2,2,2
DRAVEN,MARKSMAN,2,1,0,2,7,2
EKKO,ASSASSIN,4,1,1,3,7,2
ELISE,ASSASSIN,2,1,1,2,9,3
EVELYNN,ASSASSIN,0,1,0,2,10,4
EZREAL,MARKSMAN,7,1,0,0,6,1
FIDDLESTICKS,MAGE,2,1,3,3,4,2
FIORA,FIGHTER,1,1,4,1,7,3
FIZZ,ASSASSIN,2,1,0,2,7,2
GALIO,MAGE,4,1,3,5,4,1
GANGPLANK,FIGHTER,3,1,2,3,7,2
GAREN,FIGHTER,0,1,4,2,2,2
GNAR,TANK,2,1,1,6,6,3
GRAGAS,TANK,3,1,3,4,6,2
GRAVES,MARKSMAN,1,1,0,1,4,2
HECARIM,FIGHTER,1,1,2,5,5,3
HEIMERDINGER,MAGE,5,1,0,4,6,3
IRELIA,FIGHTER,2,1,1,2,8,2
JANNA,SUPPORT,1,1,4,10,4,2
JARVAN IV,FIGHTER,2,1,0,4,5,3
JAX,FIGHTER,1,1,0,3,7,3
JAYCE,FIGHTER,7,1,0,2,6,1
JINX,MARKSMAN,1,1,0,2,5,1
KALISTA,MARKSMAN,1,1,0,4,7,2
KARMA,MAGE,5,1,3,3,5,1
KARTHUS,MAGE,3,1,0,3,2,2
KASSADIN,ASSASSIN,1,1,0,3,8,2
KATARINA,ASSASSIN,2,1,0,0,7,1
KAYLE,FIGHTER,1,1,3,1,6,3
KENNEN,MAGE,2,1,0,3,7,2
KHA'ZIX,ASSASSIN,3,1,1,2,7,3
KOG'MAW,MARKSMAN,8,1,0,1,6,1
LEBLANC,ASSASSIN,3,1,0,2,6,2
LEE_SIN,FIGHTER,1,1,1,4,8,3
LEONA,TANK,3,1,0,10,4,1
LISSANDRA,MAGE,3,1,2,4,6,2
LUCIAN,MARKSMAN,4,1,0,0,3,2
LULU,MAGE,4,1,2,6,3,2
LUX,MAGE,10,1,0,5,7,1
MALPHITE,TANK,2,1,0,8,5,1
MALZAHAR,MAGE,4,1,0,4,4,1
MAOKAI,TANK,3,1,1,4,4,1
MASTER_YI,ASSASSIN,1,1,2,0,6,1
MISS_FORTUNE,MARKSMAN,5,1,0,2,3,2
MORDEKAISER,FIGHTER,1,1,1,0,2,3
MORGANA,MAGE,3,1,1,6,3,1
NAMI,SUPPORT,3,1,4,6,5,2
NASUS,TANK,3,1,1,1,4,3
NAUTILUS,TANK,1,1,0,7,3,2
NIDALEE,ASSASSIN,6,1,4,0,9,2
NOCTURNE,ASSASSIN,1,1,1,2,8,3
NUNU,SUPPORT,2,1,2,4,1,4
OLAF,FIGHTER,2,1,1,2,3,3
ORIANNA,MAGE,5,1,0,5,7,1
PANTHEON,FIGHTER,1,1,0,1,4,3
POPPY,FIGHTER,1,1,0,2,6,3
QUINN,MARKSMAN,3,1,0,1,5,2
RAMMUS,TANK,1,1,0,3,3,2
REK'SAI,FIGHTER,3,1,2,3,9,3
RENEKTON,FIGHTER,1,1,2,1,5,2
RIVEN,FIGHTER,1,1,0,5,9,3
RUMBLE,MAGE,3,1,0,4,6,2
RYZE,MAGE,1,1,1,3,7,2
SEJUANI,TANK,1,1,0,7,3,2
SHACO,ASSASSIN,3,1,0,2,8,3
SHEN,TANK,2,1,2,1,4,3
SHYVANA,FIGHTER,2,1,0,1,3,3
SINGED,TANK,1,1,1,3,4,3
SION,TANK,3,1,0,7,4,3
SIVIR,MARKSMAN,5,1,0,0,4,1
SKARNER,FIGHTER,2,1,0,4,7,2
SONA,SUPPORT,3,1,10,5,2,1
SORAKA,SUPPORT,3,1,9,3,2,2
SWAIN,MAGE,2,1,6,3,5,1
SYNDRA,MAGE,5,1,0,5,7,3
TAHM_KENCH,SUPPORT,4,1,5,6,6,2
TALON,ASSASSIN,2,1,0,1,9,2
TARIC,SUPPORT,1,1,3,2,3,2
TEEMO,MAGE,3,1,0,3,4,2
THRESH,SUPPORT,2,1,0,7,8,2
TRISTANA,MARKSMAN,2,1,0,2,4,2
TRUNDLE,FIGHTER,1,1,3,2,3,3
TRYNDAMERE,FIGHTER,1,1,3,1,6,3
TWISTED_FATE,MAGE,6,1,0,2,7,2
TWITCH,MARKSMAN,2,1,0,1,6,2
UDYR,FIGHTER,1,1,3,3,5,4
URGOT,MARKSMAN,3,1,0,2,7,2
VARUS,MARKSMAN,7,1,0,2,4,1
VAYNE,MARKSMAN,1,1,0,1,7,2
VEIGAR,MAGE,4,1,0,3,3,2
VEL'KOZ,MAGE,9,1,0,3,8,2
VI,FIGHTER,1,1,0,5,3,3
VIKTOR,MAGE,6,1,0,4,7,1
VLADIMIR,MAGE,2,1,5,1,7,2
VOLIBEAR,FIGHTER,2,1,2,1,4,3
WARWICK,FIGHTER,1,1,4,2,3,2
WUKONG,FIGHTER,1,1,0,7,7,2
XERATH,MAGE,9,1,0,2,7,1
XIN_ZHAO,FIGHTER,1,1,2,4,3,2
YASUO,ASSASSIN,3,1,0,3,8,3
YORICK,FIGHTER,3,1,2,2,3,3
ZAC,TANK,1,1,3,5,4,3
ZED,ASSASSIN,3,1,0,1,9,2
ZIGGS,MAGE,10,1,0,3,7,1
ZILEAN,MAGE,4,1,1,3,8,1
ZYRA,MAGE,3,1,0,4,4,2
KINDRED,MARKSMAN,1,1,1,1,6,3
RENGAR,ASSASSIN,2,1,2,2,7,1
